exercise_id,source_id,name,canonical_id,canonical_name,bodyPart,target,equipment,equipment_category,equipment_list,needs_machine,Level,Split_Type,movement_pattern,is_compound,focus_zone,muscle_chain,body_region,default_sets,default_reps_min,default_reps_max,instruction_steps,secondary_muscle_count,secondaryMuscles/0,secondaryMuscles/1,secondaryMuscles/2,secondaryMuscles/3,secondaryMuscles/4,secondaryMuscles/5
1,7,alternate lateral pulldown,5,alternate lateral pulldown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,5,2,biceps,rhomboids,,,,
2,3293,archer pull up,7,archer pull up,back,lats,body weight,bodyweight,body weight,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,2,biceps,forearms,,,,
3,15,assisted parallel close grip pull-up,22,assisted parallel close grip pull-up,back,lats,leverage machine,machine,leverage machine,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,2,biceps,forearms,,,,
4,17,assisted pull-up,26,assisted pull-up,back,lats,leverage machine,machine,leverage machine,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,2,biceps,forearms,,,,
5,1431,assisted standing chin-up,30,assisted standing chin-up,back,lats,leverage machine,machine,leverage machine,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,2,biceps,forearms,,,,
6,1432,assisted standing pull-up,31,assisted standing pull-up,back,lats,leverage machine,machine,leverage machine,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,2,biceps,forearms,,,,
7,1405,back pec stretch,39,back pec stretch,back,lats,body weight,bodyweight,body weight,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,2,shoulders,chest,,,,
8,970,band assisted pull-up,44,band assisted pull-up,back,lats,band,bands,band,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,2,biceps,forearms,,,,
9,974,band close-grip pulldown,49,band close-grip pulldown,back,lats,band,bands,band,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,2,biceps,forearms,,,,
10,3117,band fixed back close grip pulldown,52,band fixed back close grip pulldown,back,lats,band,bands,band,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,8,2,biceps,forearms,,,,
11,3116,band fixed back underhand pulldown,53,band fixed back underhand pulldown,back,lats,band,bands,band,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,9,3,biceps,rhomboids,rear deltoids,,,
12,983,band kneeling one arm pulldown,59,band kneeling one arm pulldown,back,lats,band,bands,band,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,2,biceps,rhomboids,,,,
13,1013,band underhand pulldown,91,band underhand pulldown,back,lats,band,bands,band,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,2,biceps,forearms,,,,
14,1316,barbell bent arm pullover,100,barbell bent arm pullover,back,lats,barbell,free_weight,barbell,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,5,2,triceps,chest,,,,
15,34,barbell decline bent arm pullover,109,barbell decline bent arm pullover,back,lats,barbell,free_weight,barbell,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,5,2,triceps,chest,,,,
16,37,barbell decline wide-grip pullover,113,barbell decline wide-grip pullover,back,lats,barbell,free_weight,barbell,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,5,2,triceps,chest,,,,
17,73,barbell pullover,161,barbell pullover,back,lats,barbell,free_weight,barbell,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,5,2,chest,triceps,,,,
18,22,barbell pullover to press,162,barbell pullover to press,back,lats,barbell,free_weight,barbell,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,5,3,triceps,chest,shoulders,,,
19,3019,bench pull-ups,235,bench pull-ups,back,lats,body weight,bodyweight,body weight,False,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,2,biceps,forearms,,,,
20,150,cable bar lateral pulldown,260,cable bar lateral pulldown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,3,biceps,rhomboids,rear deltoids,,,
21,153,cable cross-over lateral pulldown,265,cable cross-over lateral pulldown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,3,biceps,rhomboids,rear deltoids,,,
22,172,cable incline pushdown,286,cable incline pushdown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,2,triceps,shoulders,,,,
23,2330,cable lat pulldown full range of motion,293,cable lat pulldown full range of motion,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,3,biceps,rhomboids,rear deltoids,,,
24,177,cable lateral pulldown (with rope attachment),294,cable lateral pulldown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,8,2,biceps,forearms,,,,
25,2616,cable lateral pulldown with v-bar,295,cable lateral pulldown with v-bar,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,2,biceps,forearms,,,,
26,184,cable lying extension pullover (with rope attachment),301,cable lying extension pullover,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,2,triceps,shoulders,,,,
27,3563,cable one arm pulldown,316,cable one arm pulldown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,9,2,biceps,forearms,,,,
28,198,cable pulldown,327,cable pulldown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,2,biceps,forearms,,,,
29,197,cable pulldown (pro lat bar),327,cable pulldown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,2,biceps,forearms,,,,
30,199,cable pushdown (straight arm) v. 2,329,cable pushdown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,2,triceps,shoulders,,,,
31,205,cable rear pulldown,332,cable rear pulldown,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,7,3,biceps,rhomboids,rear deltoids,,,
32,213,cable seated high row (v-bar),354,cable seated high row,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,6,3,biceps,rhomboids,rear deltoids,,,
33,1717,cable squat row (with rope attachment),368,cable squat row,back,lats,cable,cable,cable,True,Intermediate,"Pull,Back,Upper,Full Body",Pull,True,Upper Body,Posterior,Limbs,3,8,12,8,3,biceps,rhomboids,rear deltoids,,,
